date,revenue,paid_search,paid_social,event_1,event_2,trend
2019-07-08,96469.65,3206.91,0.0,0.0,0.0,66.0
2019-07-15,81061.59,2751.53,0.0,0.0,0.0,67.0
2019-07-22,89788.03,7790.62,0.0,0.0,0.0,68.0
2019-07-29,123935.12,6853.25,13411.75,0.0,0.0,69.0
2019-08-05,76498.4,2408.6,0.0,0.0,0.0,70.0
2019-08-12,79054.57,3936.89,0.0,0.0,0.0,71.0
2019-08-19,119161.1,5832.62,12404.66,0.0,0.0,72.0
2019-08-26,120077.83,6600.18,11787.06,0.0,0.0,73.0
2019-09-02,90132.14,2705.38,0.0,0.0,0.0,74.0
2019-09-09,142157.37,16760.23,12775.51,0.0,0.0,75.0
2019-09-16,113723.88,5385.58,0.0,0.0,0.0,76.0
2019-09-23,94748.96,2868.27,0.0,0.0,0.0,77.0
2019-09-30,140219.04,8087.09,13877.26,0.0,0.0,78.0
2019-10-07,96603.8,165.3,0.0,0.0,0.0,79.0
2019-10-14,95427.25,4331.11,0.0,0.0,0.0,80.0
2019-10-21,119976.6,713.79,13381.45,0.0,0.0,81.0
2019-10-28,116580.36,1229.07,12838.62,0.0,0.0,82.0
2019-11-04,117653.52,3693.15,0.0,0.0,0.0,83.0
2019-11-11,149410.94,7283.52,11326.61,0.0,0.0,84.0
2019-11-18,134911.75,7904.15,0.0,0.0,0.0,85.0
2019-11-25,119797.72,3750.92,0.0,0.0,0.0,86.0
2019-12-02,95131.0,637.85,0.0,0.0,0.0,87.0
2019-12-09,166248.15,17396.54,12174.42,0.0,0.0,88.0
2019-12-16,139097.04,5832.53,0.0,0.0,0.0,89.0
2019-12-23,165005.85,7212.05,12891.94,0.0,0.0,90.0
2019-12-30,116731.65,2959.65,0.0,0.0,0.0,91.0
2020-01-06,114851.42,4593.68,0.0,0.0,0.0,92.0
2020-01-13,118378.83,6963.22,0.0,0.0,0.0,93.0
2020-01-20,106763.81,7812.83,0.0,0.0,0.0,94.0
2020-01-27,136312.75,5194.4,13914.69,0.0,0.0,95.0
2020-02-03,114660.42,5754.28,0.0,0.0,0.0,96.0
2020-02-10,99069.91,3666.36,0.0,0.0,0.0,97.0
2020-02-17,107365.08,6471.86,0.0,0.0,0.0,98.0
2020-02-24,84441.98,380.02,0.0,0.0,0.0,99.0
2020-03-02,93006.77,5111.32,0.0,0.0,0.0,100.0
2020-03-09,105435.45,7726.89,0.0,0.0,0.0,101.0
2020-03-16,116945.14,2800.35,13113.19,0.0,0.0,102.0
2020-03-23,128682.5,1927.23,12731.11,0.0,0.0,103.0
2020-03-30,116713.45,8045.24,0.0,0.0,0.0,104.0
2020-04-06,108483.34,6354.22,0.0,0.0,0.0,105.0
2020-04-13,136110.06,7299.03,11296.36,0.0,0.0,106.0
2020-04-20,136177.01,17911.84,0.0,0.0,0.0,107.0
2020-04-27,113682.06,3519.94,0.0,0.0,0.0,108.0
2020-05-04,118403.54,7579.9,0.0,0.0,0.0,109.0
2020-05-11,90167.74,700.43,0.0,0.0,0.0,110.0
2020-05-18,96453.03,4945.72,0.0,0.0,0.0,111.0
2020-05-25,105610.57,6993.93,0.0,0.0,0.0,112.0
2020-06-01,104303.84,7167.2,0.0,0.0,0.0,113.0
2020-06-08,153496.53,16743.0,12515.67,0.0,0.0,114.0
2020-06-15,142854.74,4677.28,12148.5,0.0,0.0,115.0
2020-06-22,103599.83,3506.78,0.0,0.0,0.0,116.0
2020-06-29,93751.16,4648.16,0.0,0.0,0.0,117.0
2020-07-06,92462.0,5439.41,0.0,0.0,0.0,118.0
2020-07-13,70777.29,1862.95,0.0,0.0,0.0,119.0
2020-07-20,71604.7,1443.06,0.0,0.0,0.0,120.0
2020-07-27,87224.19,7487.58,0.0,0.0,0.0,121.0
2020-08-03,90708.02,7131.12,0.0,0.0,0.0,122.0
2020-08-10,87520.56,7979.19,0.0,0.0,0.0,123.0
2020-08-17,69206.57,1149.99,0.0,0.0,0.0,124.0
2020-08-24,82387.64,4625.3,0.0,0.0,0.0,125.0
2020-08-31,89005.72,7500.9,0.0,0.0,0.0,126.0
2020-09-07,88117.88,3408.2,0.0,0.0,0.0,127.0
2020-09-14,129930.02,218.1,0.0,0.0,1.0,128.0
2020-09-21,88843.51,5529.68,0.0,0.0,0.0,129.0
2020-09-28,106192.93,5028.23,0.0,0.0,0.0,130.0
2020-10-05,99296.44,2805.47,0.0,0.0,0.0,131.0
2020-10-12,95340.83,4522.68,0.0,0.0,0.0,132.0
2020-10-19,120142.14,7481.45,0.0,0.0,0.0,133.0
2020-10-26,146836.38,2707.44,11759.74,0.0,0.0,134.0
2020-11-02,112233.29,753.22,0.0,0.0,0.0,135.0
2020-11-09,113515.28,5268.78,0.0,0.0,0.0,136.0
2020-11-16,127816.29,7049.23,0.0,0.0,0.0,137.0
2020-11-23,111358.87,1781.47,0.0,0.0,0.0,138.0
2020-11-30,117007.77,4832.51,0.0,0.0,0.0,139.0
2020-12-07,123008.46,6542.72,0.0,0.0,0.0,140.0
2020-12-14,109628.89,3336.54,0.0,0.0,0.0,141.0
2020-12-21,139425.23,1187.59,13442.57,0.0,0.0,142.0
2020-12-28,122350.86,6382.23,0.0,0.0,0.0,143.0
2021-01-04,94516.82,2869.61,0.0,0.0,0.0,144.0
2021-01-11,103267.71,3275.57,0.0,0.0,0.0,145.0
2021-01-18,88045.06,2101.45,0.0,0.0,0.0,146.0
2021-01-25,112585.58,5828.04,0.0,0.0,0.0,147.0
2021-02-01,108817.09,7814.21,0.0,0.0,0.0,148.0
2021-02-08,94949.67,1961.78,0.0,0.0,0.0,149.0
2021-02-15,93023.88,2904.37,0.0,0.0,0.0,150.0
2021-02-22,113563.56,16961.8,0.0,0.0,0.0,151.0
2021-03-01,106552.86,1533.66,0.0,0.0,0.0,152.0
2021-03-08,101855.55,5864.75,0.0,0.0,0.0,153.0
2021-03-15,97219.37,3022.44,0.0,0.0,0.0,154.0
2021-03-22,106241.18,6113.2,0.0,0.0,0.0,155.0
2021-03-29,94332.48,4552.23,0.0,0.0,0.0,156.0
2021-04-05,97598.16,1556.74,0.0,0.0,0.0,157.0
2021-04-12,104921.93,6070.09,0.0,0.0,0.0,158.0
2021-04-19,141185.32,3055.73,13063.43,0.0,0.0,159.0
2021-04-26,149037.73,7696.89,12814.73,0.0,0.0,160.0
2021-05-03,141217.06,16387.82,0.0,0.0,0.0,161.0
2021-05-10,113747.53,2564.41,0.0,0.0,0.0,162.0
2021-05-17,137360.83,3351.85,11909.82,0.0,0.0,163.0
2021-05-24,117891.38,5640.68,0.0,0.0,0.0,164.0
2021-05-31,110190.43,7188.11,0.0,0.0,0.0,165.0
2021-06-07,100798.39,2602.52,0.0,0.0,0.0,166.0
2021-06-14,102700.87,2663.55,0.0,0.0,0.0,167.0
2021-06-21,90713.86,1257.18,0.0,0.0,0.0,168.0
2021-06-28,87166.93,3571.88,0.0,0.0,0.0,169.0
2021-07-05,129155.97,6506.79,12724.02,0.0,0.0,170.0
2021-07-12,88516.7,4326.07,0.0,0.0,0.0,171.0
2021-07-19,75903.06,726.73,0.0,0.0,0.0,172.0
2021-07-26,63857.59,1214.23,0.0,0.0,0.0,173.0
2021-08-02,71070.92,594.44,0.0,0.0,0.0,174.0
2021-08-09,111310.19,2981.07,12086.88,0.0,0.0,175.0
2021-08-16,82753.03,3093.88,0.0,0.0,0.0,176.0
2021-08-23,89580.83,5044.63,0.0,0.0,0.0,177.0
2021-08-30,93519.47,7899.43,0.0,0.0,0.0,178.0
